user_id,timestamp,channel,impressions,clicks,conversions,spend,region,treatment
10001988239956069a34439483f72378,2013-03-11,2.0,1.0,0.0,0.0,0.052,94.0,1.0
10002de6e360476ee870fdbfc35a3e1,2013-03-11,2.0,1.0,0.0,0.0,0.028,65.0,1.0
10003086508e0236527f11ee8d34087f,2013-03-11,3.0,1.0,0.0,0.0,0.02,276.0,0.0
10003fd233eb731da89f245f6ce81014,2013-03-11,1.0,2.0,0.0,0.0,0.174,80.0,1.0
10004f3488abcf7a30d4c3a93359d088,2013-03-11,1.0,1.0,0.0,0.0,0.151,164.0,1.0
1000515e2a9991ab0aa79b2d97b3e269,2013-03-11,2.0,4.0,0.0,0.0,0.4359999999999999,2.0,0.0
100054a76b2ad296360bf565966da8e6,2013-03-11,1.0,1.0,0.0,0.0,0.251,65.0,1.0
10005ae3682408504699519d06f2fd96,2013-03-11,1.0,2.0,0.0,0.0,0.194,65.0,1.0
100061896b4c9fe1eb0283b2fec7efc4,2013-03-11,1.0,1.0,0.0,0.0,0.201,146.0,0.0
1000794f675bf0d7ab684233f5943ba0,2013-03-11,3.0,1.0,0.0,0.0,0.02,216.0,1.0
10008e77c1c7298daaa1a03509a7eebe,2013-03-11,1.0,1.0,0.0,0.0,0.231,164.0,0.0
10008e77c1c7298daaa1a03509a7eebe,2013-03-11,3.0,1.0,0.0,0.0,0.2,164.0,0.0
10009a383acca8b79c40a90bf948558a,2013-03-11,2.0,2.0,0.0,0.0,0.035,79.0,0.0
1000a4fe364a483a230ed7f6f7977988,2013-03-11,2.0,1.0,0.0,0.0,0.04,146.0,1.0
1000d38c24929e57dafb47966b8f2833,2013-03-11,1.0,1.0,0.0,0.0,0.068,106.0,0.0
1000eb22730619f1dc644618ea593313,2013-03-11,3.0,1.0,0.0,0.0,0.02,183.0,1.0
1000f63393c6d110394212cf64873701,2013-03-11,2.0,1.0,0.0,0.0,0.019,216.0,0.0
1000fdf9be5222e23a16919821ce5ec7,2013-03-11,3.0,2.0,0.0,0.0,0.24,80.0,0.0
100132770e4bc9d9448f9a3ac2be5df2,2013-03-11,1.0,1.0,0.0,0.0,0.017,164.0,0.0
1001413a14ccffdf594c287efb28a874,2013-03-11,3.0,1.0,0.0,0.0,0.08,298.0,1.0
10016abae4d5387b531ef2a8b98c917b,2013-03-11,1.0,1.0,0.0,0.0,0.031,146.0,0.0
1001720897cfed72d17c1870183c5d82,2013-03-11,1.0,1.0,0.0,0.0,0.019,3.0,1.0
100188714fba8071daefc6391a7dc735,2013-03-11,1.0,1.0,0.0,0.0,0.251,80.0,0.0
100196b82ddd8f82405651d26dbac547,2013-03-11,3.0,1.0,0.0,0.0,0.12,238.0,1.0
1001dc1351ec4bbc8a2d97102354e754,2013-03-11,1.0,1.0,0.0,0.0,0.022,0.0,0.0
1001f9a8cda237ae25d1d8113105ad9e,2013-03-11,2.0,1.0,0.0,0.0,0.028,15.0,1.0
1001fb08722bf0634de505f4cef56dcc,2013-03-11,3.0,3.0,0.0,0.0,0.08,216.0,1.0
